company_id,code,brand_name,brand_code,company_name,main_location,contact_person,phone,email
1,nepal-gas-udhyog,Nepal Gas,nepal-gas,Nepal Gas Udhyog Pvt. Ltd.,"Balaju, Kathmandu",Kamal Lamichhane,"01-4970416 / 9820103866",info@nepalgas.com.np
2,himalaya-petro-chemicals,HP Gas,hp-gas,Himalaya Petro Chemicals Pvt. Ltd.,"Benighat Rorang, Dhading",Ram Kaji Shrestha,9840060589,hpgas2077@gmail.com
3,everest-gas-udhyog,Everest Gas,everest-gas,Everest Gas Udhyog Pvt. Ltd.,"Dakshinkali, Kathmandu",Maheshwar Ghimire,"01-5124096 / 9851142218 / 9851276328",info@everestgas.com.np
4,sugam-gas-udhyog,Sugam Gas,stc-gas,Sugam Gas Udhyog Pvt. Ltd.,"Dhunibeshi, Dhading",Maheshwar Ghimire,"01-5124125 / 9851175037 / 9851276328",info@everestgas.com.np
5,shreeram-gas-udhyog,Shriram Gas,shreeram-gas,Shreeram Gas Udhyog Pvt. Ltd.,"Thakre-01, Simle, Dhading",Rajendra Dhakal,"9851044104 / 9851137732",koshigas2043@gmail.com
6,sagarmatha-gas-industries,Sagarmatha / Sagar Gas,sagar-gas,Sagarmatha Gas Industries Pvt. Ltd.,"Banepa-04, Kavre",Sanwarmal Agrawal,011-662027,sagargasudhyog2055@gmail.com
7,siddhartha-gas-udhyog,Siddhartha Gas,siddhartha-gas,Siddhartha Gas Udhyog Pvt. Ltd.,"Tilottama-15, Rupandehi / Dhunibeshi branch",Ramchandra Sanghai,071-560145,siddharthagas@gmail.com
8,gauri-shankar-gas-udhyog,Himal Gas,gauri-shankar-gas,Gauri Shankar Gas Udhyog Pvt. Ltd.,"Sanga, Kavre",Ram Chandra Sanghai,01-4538592,himalgas@gmail.com
9,shreekrishna-gas-udhyog,Shree Krishna Gas,shree-krishna-gas,Shreekrishna Gas Udhyog Pvt. Ltd.,"Benighat Rorang-05, Dhading",Manoj Khadka,01-5218988,shreekrishnagas1@gmail.com
10,sai-baba-gas-udhyog,Saibaba Gas,sai-baba-gas,Sai Baba Gas Udhyog Pvt. Ltd.,"Khairahani-09, Chitwan",Rajendra Dallakoti,056-582908,saibabagas2013@gmail.com
11,om-gas-udhyog,Om Gas,om-gas,Om Gas Udhyog Pvt. Ltd.,"Thakre-01, Dhading",Hari Prasad Pathak,01-62179834,omgas62@gmail.com
12,kabsons-industries,Shreemaya Gas,shree-maya-gas,Kabsons Industries Pvt. Ltd.,"Benighat Rorang-08, Dhading",Barsha,9851131610,krishnasharma@zorbanepal.com
13,metro-kathmandu-gas-industries,STC Gas,stc-gas,Metro Kathmandu Gas Industries Ltd. / Salt Trading Corporation,"Thakre-07, Dhading / Kathmandu",Gokul/Mahendra Bhusal,"01-428496 / 9851125545",metro@stcnepal.com
14,bhanu-gas-udhyog,Bhanu Gas,bhanu-gas,Bhanu Gas Udhyog Pvt. Ltd.,"Ichhakamana-03, Chitwan",Rudra Prasad Koirala,01-4380378,bhanugas@yahoo.com
15,ugrachandi-gas-udhyog,Lokpriya Gas,lokpriya-gas,Ugrachandi Gas Udhyog Pvt. Ltd.,"Banepa-01, Nala, Kavre",Krishna Bhakta Shrestha,"011-411160 / 9851043099",ugrachandigas1@gmail.com
16,surya-gas-industries,Surya Gas,surya-gas,Surya Gas Industries Pvt. Ltd.,"Banepa-10, Kavre",Yubak Rajbhandari / Krishna Khanal,"011-660736 / 9851116236",suryagasnepal@gmail.com
17,ugrachandi-gas-udhyog-2,Ugrachandi Gas,lokpriya-gas,Ugrachandi Gas Udhyog Pvt. Ltd.,"Banepa-01, Nala, Kavre",Krishna Bhakta Shrestha,"011-411160 / 9851043099",ugrachandigas1@gmail.com
18,baba-gas-udhyog,Baba Gas,baba-gas,Baba Gas Udhyog Pvt. Ltd.,"Khaireni-01, Chitwan",Surendra Raj Poudel,056-582097,babagas51@yahoo.com
