registry_id,brand_code,brand_name,dealer_name,contact_person,phones,address,district,local_level,ward
1,nepal-gas,Nepal Gas,A M Kirana Store,Mr. Lal Bahadur Pun,"[""9803015389""]","Buddha Marga, Godawari",Lalitpur,Godawari,
2,nepal-gas,Nepal Gas,A. A. Suppliers,Mr Sunil Shrestha,"[""9841493906""]","Enaya Tole, Thimi Ward no. 4",Bhaktapur,Madhyapur Thimi,4
3,nepal-gas,Nepal Gas,A.P.General Store,Ashok Kumar Joshi,"[""9741065850"", ""9842633358"", ""9813829195""]",Pasikoot,Kathmandu,,
4,nepal-gas,Nepal Gas,A.R. Suppliers,Mr. Arjun Khatri,"[""9851086510""]",Gairigaun Tokha - 8,Kathmandu,Tokha,8
5,nepal-gas,Nepal Gas,A.T.M Store & Suppliers,Lok Nath Gautam,"[""9851035186""]",Purano Baneshwor,Kathmandu,Kathmandu Metropolitan,
6,nepal-gas,Nepal Gas,A.T.M. Supplier,Mrs. Ambu Maya Tamang,"[""9851180369""]",Indrenipul Tokha-8,Kathmandu,Tokha,8
7,nepal-gas,Nepal Gas,A.T.M.Store & Supplier,Dhirendra Pandey,"[""9851035186""]",Baneshwor,Kathmandu,Kathmandu Metropolitan,
8,nepal-gas,Nepal Gas,Aamako Kirana Tatha Gas Store,Mr Prabhu Ram Gautam,"[""9845985383""]",Ichhadole Nagarjun Municipality Ward no. 6,Kathmandu,Nagarjun,6
9,nepal-gas,Nepal Gas,Aanubhaw Kirana Store,Anju Ojha,"[""9851063297"", ""9841126094"", ""9841319479""]",Bhangaretar,Kathmandu,,
10,nepal-gas,Nepal Gas,Aarohi and Anaika Enterprises,Mr. Ranjit Khadka,"[""9841515187""]",Imadole Lalitpur,Lalitpur,Mahalaxmi,
11,nepal-gas,Nepal Gas,Aashma Gas Dipo,Mr. Bharat Aryal,"[""9861888496""]",Aryaltar Tarakeshwor - 5,Kathmandu,Tarakeshwor,5
12,nepal-gas,Nepal Gas,Adhikari Gas Pasal,Bhuwan Adhikari,"[""9841186308""]",Mahadevtar Tokha Road,Kathmandu,Tokha,
13,nepal-gas,Nepal Gas,Adishwor Byapar Traders,Saran Bdr. Maharjan,"[""9841297253""]",Kirtipur,Kathmandu,Kirtipur,
14,nepal-gas,Nepal Gas,Adishwor Bypar Traders,Saran Bhadur Maharjan,"[""014330864"", ""9841297253""]",Kirtipur,Kathmandu,Kirtipur,
15,nepal-gas,Nepal Gas,Adrishya Store,Mrs. Ambika Thapa Magar,"[""9860949393""]",Dhovighat,Lalitpur,,
16,nepal-gas,Nepal Gas,AGNI KIRANA SUPPLIERS,Mr. Dhana Bahadur Budhathoki,"[""9846781105""]",Sinamangal,Kathmandu,,
17,nepal-gas,Nepal Gas,Airport,Biraj Ranjit,"[""014472828""]","Kholagal Marg, Kathmandu 44600, Nepal",Kathmandu,,
18,nepal-gas,Nepal Gas,Anamnagar Store,Madhu Sudan Poudel,"[""014770748""]",Anamnagar,Kathmandu,,
19,nepal-gas,Nepal Gas,Ankit Store,Mr. Arun Aryal,"[""9851247596""]",Chisapani Tarakeshwor - 3,Kathmandu,Tarakeshwor,3
20,nepal-gas,Nepal Gas,"Anmol Jeet Suppliers, satdobato",Raghunath Maharjan,"[""015527279"", ""9841296899""]",Sadobato,Lalitpur,,
21,nepal-gas,Nepal Gas,Annapurna Gas Suppliers,Shyam Kumar Manandhar,"[""014231843"", ""9841347509""]",Ason,Kathmandu,,
22,nepal-gas,Nepal Gas,Anubhav Kirana Store,Anju Ojha,"[""9851063297"", ""9841126094"", ""9841319479""]",Tarkeshwor,Kathmandu,Tarakeshwor,
23,nepal-gas,Nepal Gas,Arya Store,Ajaya Karki,"[""014370516"", ""9841479925""]",Bansbari,Kathmandu,,
24,nepal-gas,Nepal Gas,ASHIM STORE,Mr. Jagadish Budhathoki,"[""9841688456""]",Chamati,Kathmandu,,
25,nepal-gas,Nepal Gas,Astasiddhi Store,Mrs. Kamala Bhandari,"[""9851159949""]",Imadole,Lalitpur,,
26,nepal-gas,Nepal Gas,Atit Giri Store,Mr. Balram Giri,"[""9841838455""]",Jarankhu Tarakeshwor - 8,Kathmandu,Tarakeshwor,8
27,nepal-gas,Nepal Gas,Atri Khadyanna Stores,Mahesh Chandra Gautam,"[""9841472550""]",Madhyapur Thimi,Bhaktapur,Madhyapur Thimi,
28,nepal-gas,Nepal Gas,B & B Suppliers,UttamRaj Bhandari,"[""9851087453""]",Chauki Koteswor,Kathmandu,,
29,nepal-gas,Nepal Gas,B. M. C. Concern,Surendra Krishna Shrestha,"[""9851032283""]",Balaju,Kathmandu,,
30,nepal-gas,Nepal Gas,B.B Variert Store,Bal Bahadur Shrestha,"[""014003539"", ""9841852157""]",Lazimpat Saraswotithan,Kathmandu,,
31,nepal-gas,Nepal Gas,B.K Traders,Bhai Kaji Shrestha,"[""015164291"", ""9841792162""]",Mathatirtha,Kathmandu,,
32,nepal-gas,Nepal Gas,Baba Traders,Mohan Aryal,"[""014491180"", ""9841494032""]",Bhimsengola,Kathmandu,,
33,nepal-gas,Nepal Gas,Badri Bishal Hardware,Badri Kumar Thapa,"[""9843765625""]",Baniyatar,Kathmandu,,
